GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SYOS Point of Sale System,com.syos.client.network,PushListenerClient,158,0,11,0,52,0,13,0,7,0
SYOS Point of Sale System,com.syos.client.network,PushListenerClient.new SwingWorker() {...},44,0,2,0,13,0,4,0,3,0
SYOS Point of Sale System,com.syos.client.network,ServerConnection,47,0,0,0,12,0,2,0,2,0
SYOS Point of Sale System,com.syos.server,ClientHandler,47,0,0,0,15,0,2,0,2,0
SYOS Point of Sale System,com.syos.server,ServerApplication,271,0,6,0,46,0,6,0,3,0
SYOS Point of Sale System,com.syos.server,ThreadPoolServer,73,0,6,0,24,0,6,0,3,0
SYOS Point of Sale System,com.syos.server,RequestQueue,27,0,2,0,8,0,4,0,3,0
SYOS Point of Sale System,com.syos.server,ServerRequestProcessor,406,0,21,0,86,0,24,0,8,0
SYOS Point of Sale System,com.syos.server,ServerRequestHandler,8,332,5,16,2,71,5,18,0,7
SYOS Point of Sale System,com.syos.server,PendingRequest,35,0,0,0,14,0,3,0,3,0
SYOS Point of Sale System,com.syos.server,WorkerThreadPool,134,0,10,0,35,0,9,0,4,0
SYOS Point of Sale System,com.syos.infrastructure.database,DatabaseManager,106,0,4,0,38,0,9,0,7,0
SYOS Point of Sale System,com.syos.application.service,BillCalculationService,0,12,0,0,0,4,0,2,0,2
SYOS Point of Sale System,com.syos.application.service,InventoryManager,22,20,2,0,5,7,3,3,2,3
SYOS Point of Sale System,com.syos.application.service,BillNumberGenerator,0,59,0,2,0,13,0,6,0,5
SYOS Point of Sale System,com.syos.application.service,CheckoutService,5,48,2,2,1,11,2,2,0,2
SYOS Point of Sale System,com.syos.domain.entity,User,38,56,7,3,7,15,8,7,3,7
SYOS Point of Sale System,com.syos.domain.entity,BillItem,86,45,14,2,15,15,14,5,6,5
SYOS Point of Sale System,com.syos.domain.entity,Product,53,74,8,12,5,21,10,9,2,7
SYOS Point of Sale System,com.syos.domain.entity,Bill,42,121,8,4,7,36,7,15,2,14
SYOS Point of Sale System,com.syos.domain.entity,StockBatch,63,100,14,12,11,29,13,14,2,12
SYOS Point of Sale System,com.syos.domain.entity,Bill.SaleType,0,15,0,0,0,3,0,1,0,1
SYOS Point of Sale System,com.syos.domain.valueobject,BillNumber,37,18,8,2,6,6,7,3,2,3
SYOS Point of Sale System,com.syos.domain.valueobject,BatchNumber,12,43,5,5,2,10,6,4,1,4
SYOS Point of Sale System,com.syos.domain.valueobject,Money,22,123,5,11,2,20,7,14,2,11
SYOS Point of Sale System,com.syos.domain.valueobject,ProductId,9,46,5,5,1,11,5,5,0,5
SYOS Point of Sale System,com.syos.domain.valueobject,InventoryChannel,0,15,0,0,0,3,0,1,0,1
SYOS Point of Sale System,com.syos.application.strategy,PercentageDiscountStrategy,15,32,3,3,2,9,4,2,1,2
SYOS Point of Sale System,com.syos.application.strategy,ThresholdDiscountStrategy,20,33,3,5,2,8,4,3,1,2
SYOS Point of Sale System,com.syos.application.strategy,FEFOStockSelectionStrategy,0,68,1,11,0,17,1,8,0,3
SYOS Point of Sale System,com.syos.application.strategy,NoDiscountStrategy,2,8,0,0,1,2,1,2,1,2
SYOS Point of Sale System,com.syos.application.strategy,FIFOStockSelectionStrategy,1,69,3,9,0,18,3,6,0,3
